sim_no,restitution,lateral Friction,spinning Friction,contact Damping,contact Stiffness
1,0.2,0.5,0.1,10000,1000000
2,0.4,0.5,0.1,10000,1000000
3,0.6,0.5,0.1,10000,1000000
4,0.8,0.5,0.1,10000,1000000
5,0.3,0.01,0.1,10000,1000000
6,0.3,0.11,0.1,10000,1000000
7,0.3,0.21,0.1,10000,1000000
8,0.3,0.31,0.1,10000,1000000
9,0.3,0.41,0.1,10000,1000000
10,0.3,0.5,0.01,10000,1000000
11,0.3,0.5,0.11,10000,1000000
12,0.3,0.5,0.21,10000,1000000
13,0.3,0.5,0.31,10000,1000000
14,0.3,0.5,0.41,10000,1000000
15,0.3,0.5,0.1,1000,1000000
16,0.3,0.5,0.1,10000,1000000
17,0.3,0.5,0.1,100000,1000000
18,0.3,0.5,0.1,1000000,1000000
19,0.3,0.5,0.1,10000000,1000000
20,0.3,0.5,0.1,10000,10000
21,0.3,0.5,0.1,10000,100000
22,0.3,0.5,0.1,10000,1000000
23,0.3,0.5,0.1,10000,10000000
24,0.3,0.5,0.1,10000,100000000
