TopFolder,Subfolder,FileName,ExecutionTime,FinalPosition
ChiChi - PGVA 0.63681,TCU063N,Earthquake-0.2g.tab,6.539067268371582,-0.004328269360675316
ChiChi - PGVA 0.63681,TCU063N,Earthquake-0.4g.tab,6.680298089981079,-0.012984808080954674
ChiChi - PGVA 0.63681,TCU063N,Earthquake-0.8g.tab,6.454238653182983,-0.03029788547590367
ChiChi - PGVA 0.63681,TCU063N,Earthquake-1g.tab,6.290454149246216,-0.05193923220991713
ChiChi - PGVA 0.63681,TCU063N,Earthquake-0.6g.tab,6.553207635879517,-0.06492404027933998
Landers - PGVA - 0.3496,FLO290,Earthquake-0.2g.tab,4.410190582275391,-0.06229656140082495
Landers - PGVA - 0.3496,FLO290,Earthquake-0.4g.tab,4.58505392074585,-0.05704160359541634
Landers - PGVA - 0.3496,FLO290,Earthquake-0.8g.tab,4.348625183105469,-0.046531688005195415
Landers - PGVA - 0.3496,FLO290,Earthquake-1g.tab,4.142587661743164,-0.03339429351068549
Landers - PGVA - 0.3496,FLO290,Earthquake-0.6g.tab,4.5300452709198,-0.025511856744122513
Parkfield - PGVA 0.10453,C02090,Earthquake-0.2g.tab,1.5559239387512207,-0.02627411789291387
Parkfield - PGVA 0.10453,C02090,Earthquake-0.4g.tab,1.5716898441314697,-0.02779864015115791
Parkfield - PGVA 0.10453,C02090,Earthquake-0.8g.tab,1.5487821102142334,-0.03084768470467812
Parkfield - PGVA 0.10453,C02090,Earthquake-1g.tab,1.5427515506744385,-0.034658990396803466
Parkfield - PGVA 0.10453,C02090,Earthquake-0.6g.tab,1.547910451889038,-0.03694577384259937
